-8.883512869462343531e+00,-1.596673135011107725e+01,1.338074186816950295e+01,-1.654975966025731493e+00,-2.572256848554539133e+01,8.572149061574760864e+00,1.005616081543761808e+01,6.935515969391513380e+00,-3.321858004979673651e-01,-1.254813012488287960e+01
-9.458467380608315267e+00,-1.722941586218643195e+01,1.430148888606489166e+01,-1.547107567197824274e+00,-2.774610084558832312e+01,9.192522952143942661e+00,1.099746992729465411e+01,7.666979870073501679e+00,-1.971836238808171160e-01,-1.355452619988785834e+01
-8.060753209917235651e+00,-1.529747184664643811e+01,1.241728955927564826e+01,-2.884225108222905343e-01,-2.475597786380489751e+01,8.050525461496560453e+00,1.068963031568857502e+01,7.094785905199693765e+00,2.819984439257534059e-01,-1.201671568936025025e+01
-8.038012834836761655e+00,-1.426741521996562234e+01,1.201050989984108597e+01,-1.892704479404014428e+00,-2.290590327014793814e+01,7.678824829189374590e+00,8.597513301843934030e+00,6.154793525240680907e+00,-4.314671053617536445e-01,-1.122378512204576495e+01
-6.267905796274331642e+00,-1.147545047858843148e+01,9.498115769931523289e+00,-8.494767019462388102e-01,-1.850176751345161108e+01,6.112301717574096571e+00,7.499733115097962255e+00,5.103176559804234458e+00,-7.432057237582645470e-02,-9.010198544506245355e+00
-7.048074771716393627e+00,-1.327879566792194410e+01,1.078931898139023815e+01,-5.158743152994240688e-01,-2.142379252667167222e+01,6.989814906152334473e+00,9.013745301420973632e+00,6.161833347362611235e+00,1.763454640259836392e-01,-1.044025367179992259e+01
-8.311893739850594542e+00,-1.547567358050683062e+01,1.266604872761902989e+01,-9.002856049866706512e-01,-2.494593066363995959e+01,8.183300644645736810e+00,1.025803112410426365e+01,7.089396055449444844e+00,6.976618086023117504e-02,-1.217401574685548837e+01
-8.537165402492050248e+00,-1.570708734865388578e+01,1.297187263416918590e+01,-1.099729390721440048e+00,-2.533565799092848891e+01,8.354699291107893444e+00,1.030202053381540139e+01,7.047625579967397691e+00,-6.067361179205482680e-02,-1.234758265227040397e+01
-8.035273085646970515e+00,-1.471163554004895424e+01,1.218237904934067650e+01,-1.142094313643245096e+00,-2.371793519960001007e+01,7.838243323035811727e+00,9.557313147266269127e+00,6.562126890128287648e+00,-1.075345686218396879e-01,-1.156435640178047386e+01
-6.688827696562025693e+00,-1.237144274704388458e+01,1.013938629285938831e+01,-8.959360629753663208e-01,-1.989801701194625849e+01,6.545817421156137961e+00,8.032579665840351879e+00,5.648161577423505442e+00,2.982997045400559433e-03,-9.731456283485540482e+00
-4.685606396536669216e+00,-8.568602984702804903e+00,7.052309283727655753e+00,-7.564151995453449739e-01,-1.375279024153550544e+01,4.544884523374033591e+00,5.451408201777646845e+00,3.856894303012523118e+00,-5.557372970960375302e-02,-6.730029560466206817e+00
