-4.290977223078789038e+00,3.324576616778723626e+00,1.243180628028022561e+01,1.087541079422114976e+01,-1.179578614366240785e+01
-4.316642068057975123e+00,3.341825604955757978e+00,1.261324306051888833e+01,1.104793921605268459e+01,-1.190491879861490077e+01
-3.810075637736714427e+00,2.950602530707846949e+00,1.053538915911547136e+01,9.167033387447313331e+00,-1.028659667089227270e+01
-3.732304364191332713e+00,2.898333530876166630e+00,9.985587690274401851e+00,8.644226602543863436e+00,-9.955895839933525338e+00
-3.839683162814464090e+00,2.970501339776497218e+00,1.074469858706249248e+01,9.366065938789216005e+00,-1.041249448250686704e+01
-4.089659238907417560e+00,3.138506811251801309e+00,1.251189626231766461e+01,1.104649603446813622e+01,-1.147544860830638314e+01
-3.719594001388771609e+00,2.889791071419076651e+00,9.895732197111193784e+00,8.558782921235419394e+00,-9.901848537517405902e+00
-3.728454851068934151e+00,2.895746326223676004e+00,9.958373683449854852e+00,8.618348775330575862e+00,-9.939526850069666963e+00
-3.530248941939471141e+00,2.599630123912322510e+00,1.076530581303551948e+01,9.624524587366334316e+00,-9.845600601737686475e+00
-3.336768396267522974e+00,2.469594518885754209e+00,9.397501438062345613e+00,8.323877993671418452e+00,-9.022878093654696841e+00
-3.390159722672395848e+00,2.505478092648257160e+00,9.774949669813919328e+00,8.682793907311102899e+00,-9.249909942345949432e+00
-3.239594812877739649e+00,2.404285494328241679e+00,8.710535975820336674e+00,7.670641825693341964e+00,-8.609674306327125493e+00
-3.229160512093080637e+00,2.397272744747398043e+00,8.636771028479113710e+00,7.600498661035508086e+00,-8.565305328134339646e+00
-3.361895147885654467e+00,2.486481861939644045e+00,9.575134184924749547e+00,8.492789156234259451e+00,-9.129722655413884169e+00
-3.160116519521991130e+00,2.350869230036134461e+00,8.148666786389187067e+00,7.136359832809613835e+00,-8.271714845748254774e+00
-3.861424343334594056e+00,2.792920221153666116e+00,1.130483235830556588e+01,1.012524040928554925e+01,-1.057301183325312621e+01
-3.540021480522027364e+00,2.576909791898593038e+00,9.032685355839943142e+00,7.964653476531376342e+00,-9.206335051978442152e+00
-3.876380647103433663e+00,2.802972146543827314e+00,1.141056545750372209e+01,1.022578212258105523e+01,-1.063660937845135912e+01
-3.906284736364987520e+00,2.823070272308306095e+00,1.162197143622622697e+01,1.042680828622200551e+01,-1.076376824723457126e+01
-3.543923705484766984e+00,2.579532423451638135e+00,9.060272007291786167e+00,7.990885651905865750e+00,-9.222928184364437953e+00
-3.801126617613420855e+00,2.752394951707852311e+00,1.087855956299211790e+01,9.719897167698011486e+00,-1.031661243162472985e+01
-3.605786631064911152e+00,2.621109642125432071e+00,9.497609931698050900e+00,8.406750736182823758e+00,-9.485983165493875546e+00
-3.740179954129343454e+00,2.711433540145884891e+00,1.044769912343720719e+01,9.310191530460242504e+00,-1.005745360164123348e+01
-3.536836179312826456e+00,2.574768994907909558e+00,9.010166973361636522e+00,7.943240723361536304e+00,-9.192790439569312966e+00
-3.630656873089162850e+00,2.637824588620694133e+00,9.673429292395381296e+00,8.573937547967284800e+00,-9.591736991149897307e+00
-3.860053621861238238e+00,2.791998978165169731e+00,1.129514208778449458e+01,1.011602592103282738e+01,-1.056718321929855087e+01
