dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Cornell,333,2,0.05,0.1,rawr,False,rep_nodes,94,False,True,0.3333333333333333
Cornell,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.5
Cornell,444,2,0.05,0.1,rawr,False,rep_nodes,94,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.4444444444444444
Cornell,555,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.4444444444444444
Cornell,555,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.5
Cornell,555,2,0.05,0.1,rawr,False,rep_nodes,94,False,True,0.5
PubMed,111,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6255707762557078
PubMed,111,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6286149162861492
PubMed,111,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6204972095383054
PubMed,111,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.6225266362252664
PubMed,111,2,0.05,0.1,rawr,False,rep_nodes,171,False,True,0.6291222729578894
PubMed,222,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6448503297818367
PubMed,222,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6352105530187722
PubMed,222,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.632673769660071
PubMed,222,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.6428209030948757
PubMed,222,2,0.05,0.1,rawr,False,rep_nodes,171,False,True,0.6438356164383562
PubMed,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6763064434297311
PubMed,333,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6793505834601725
PubMed,333,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6747843734145104
PubMed,333,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.656519533231862
PubMed,333,2,0.05,0.1,rawr,False,rep_nodes,171,False,True,0.6712328767123288
PubMed,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.5296803652968036
PubMed,444,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6179604261796042
PubMed,444,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.5712836123795028
PubMed,444,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.5464231354642314
PubMed,444,2,0.05,0.1,rawr,False,rep_nodes,171,False,True,0.5235920852359208
PubMed,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6818873668188736
PubMed,555,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.6752917300862507
PubMed,555,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.669710806697108
PubMed,555,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.6686960933536276
PubMed,555,2,0.05,0.1,rawr,False,rep_nodes,171,False,True,0.6829020801623541
Squirrel,111,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3173076923076923
Squirrel,111,2,0.05,0.1,rawr,False,rep_nodes,7,False,True,0.3153846153846154
Squirrel,111,2,0.05,0.1,rawr,False,rep_nodes,17,False,True,0.29615384615384616
Squirrel,111,2,0.05,0.1,rawr,False,rep_nodes,166,False,True,0.2980769230769231
